expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-7.900000000000000000e+01,1.796600000000000819e+01,1.467523253229627400e+00,9.000000000000000000e+01
0.000000000000000000e+00,-3.900000000000000000e+01,9.973000000000013188e+00,6.442569611155254394e-01,5.000000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.774000000000000909e+00,5.077136931044992085e-01,4.900000000000000000e+01
0.000000000000000000e+00,-1.200000000000000000e+02,2.622000000000002728e+01,1.514256932153063007e+00,1.310000000000000000e+02
0.000000000000000000e+00,-7.300000000000000000e+01,1.675700000000000500e+01,1.178544231107324869e+00,8.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.007100000000002638e+01,1.554467656891541871e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.653999999999996362e+00,4.649238079851867322e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.035999999999944521e+00,4.200485330363837866e-01,2.100000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+01,8.096999999999979991e+00,4.544153234370607031e-01,4.100000000000000000e+01
0.000000000000000000e+00,-9.600000000000000000e+01,2.150400000000001910e+01,1.302003869250688117e+00,1.070000000000000000e+02
0.000000000000000000e+00,-2.900000000000000000e+01,7.935000000000059117e+00,7.855549055013928417e-01,4.000000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.774000000000000909e+00,8.842358572181479026e-01,4.900000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.325099999999997635e+01,1.502838369031735066e+00,6.600000000000000000e+01
0.000000000000000000e+00,-9.400000000000000000e+01,2.135000000000002274e+01,2.057709239038111981e+00,1.050000000000000000e+02
0.000000000000000000e+00,-2.300000000000000000e+01,6.728000000000065484e+00,7.512105753179800782e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.164999999999963620e+00,5.457193635578008184e-01,2.600000000000000000e+01
0.000000000000000000e+00,-6.800000000000000000e+01,1.588499999999999091e+01,1.588874026710012766e+00,7.900000000000000000e+01
0.000000000000000000e+00,-4.400000000000000000e+01,1.102300000000002456e+01,1.002987238956853044e+00,5.500000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.067600000000004457e+01,3.145996910032609950e+00,1.500000000000000000e+02
0.000000000000000000e+00,-2.700000000000000000e+01,7.533000000000015461e+00,8.336929720438600588e-01,3.800000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.508000000000038199e+00,4.756536446831104437e-01,1.800000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.079800000000000182e+01,1.181470505239155644e+00,5.400000000000000000e+01
0.000000000000000000e+00,-2.700000000000000000e+01,7.529999999999972715e+00,8.932858538132214532e-01,3.800000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.135999999999967258e+00,6.270139755060176734e-01,3.600000000000000000e+01
0.000000000000000000e+00,-1.400000000000000000e+01,4.900000000000090949e+00,6.396164791989740195e-01,2.500000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.564999999999827196e+00,1.086411413539292825e+00,4.300000000000000000e+01
0.000000000000000000e+00,-5.300000000000000000e+01,1.285400000000004184e+01,1.563031238964468717e+00,6.400000000000000000e+01
0.000000000000000000e+00,-4.200000000000000000e+01,1.060400000000004184e+01,1.257907841382502667e+00,5.300000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.324000000000000909e+01,1.626296727322554814e+00,6.600000000000000000e+01
0.000000000000000000e+00,-6.300000000000000000e+01,1.485000000000013642e+01,1.858219313339925405e+00,7.400000000000000000e+01
0.000000000000000000e+00,-4.400000000000000000e+01,1.109699999999997999e+01,1.266945501199779889e+00,5.500000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.721000000000003638e+00,5.942364803709616616e-01,2.900000000000000000e+01
0.000000000000000000e+00,-3.800000000000000000e+01,9.781999999999925421e+00,1.125008945849674591e+00,4.900000000000000000e+01
0.000000000000000000e+00,-9.800000000000000000e+01,2.225199999999995271e+01,2.340712041142603450e+00,1.090000000000000000e+02
0.000000000000000000e+00,-2.200000000000000000e+01,6.519999999999981810e+00,6.617903226369566960e-01,3.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+01,5.100999999999885404e+00,6.077423632191818470e-01,2.600000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.583999999999832653e+00,1.004575636725419274e+00,4.800000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+00,3.466000000000121872e+00,4.296436753940800490e-01,1.800000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+01,1.017599999999993088e+01,1.283270628083824416e+00,5.100000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.123000000000047294e+00,9.572749723880468187e-01,3.600000000000000000e+01
0.000000000000000000e+00,-6.000000000000000000e+01,1.443399999999974170e+01,1.477445353780109993e+00,7.100000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.110999999999876309e+00,5.416571957583782293e-01,3.100000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.094999999999799911e+00,8.079503875459260742e-01,3.100000000000000000e+01
