expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.009600000000003206e+01,2.186565147260567166e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.673999999999978172e+00,5.732341987322836507e-01,2.900000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.311900000000002819e+01,9.016225749644486420e-01,6.600000000000000000e+01
0.000000000000000000e+00,-7.000000000000000000e+01,1.626599999999996271e+01,1.028874129280181293e+00,8.100000000000000000e+01
0.000000000000000000e+00,-1.070000000000000000e+02,2.364100000000001955e+01,1.501476292066803220e+00,1.180000000000000000e+02
0.000000000000000000e+00,-6.500000000000000000e+01,1.514199999999999591e+01,7.226159937743099615e-01,7.600000000000000000e+01
0.000000000000000000e+00,-1.080000000000000000e+02,2.380299999999999727e+01,1.172207122096235565e+00,1.190000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.008999999999997499e+01,1.598803768306044981e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.013799999999997681e+01,1.797023525505608177e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.008400000000006003e+01,1.848014513857227259e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.068800000000010186e+01,9.743189053472766092e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.031300000000010186e+01,8.209786265125696980e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.051800000000002910e+01,1.173274496390698252e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033400000000006003e+01,1.139028516345078623e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.034799999999995634e+01,1.362275101138193945e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.029699999999979809e+01,1.086591533907545593e+00,1.500000000000000000e+02
