expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-2.200000000000000000e+01,6.463999999999998636e+00,4.260332775582595377e-01,3.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.005200000000002092e+01,1.945673235263810419e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.700000000000000000e+01,5.444000000000016826e+00,5.231948790148740480e-01,2.800000000000000000e+01
0.000000000000000000e+00,-3.900000000000000000e+01,9.870000000000004547e+00,8.874367695289815394e-01,5.000000000000000000e+01
0.000000000000000000e+00,-4.300000000000000000e+01,1.068999999999999773e+01,7.365356917074259435e-01,5.400000000000000000e+01
0.000000000000000000e+00,-5.500000000000000000e+01,1.312200000000001410e+01,1.031908903553146128e+00,6.600000000000000000e+01
0.000000000000000000e+00,-8.900000000000000000e+01,1.996399999999999864e+01,1.326344574358988559e+00,1.000000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.006799999999998363e+01,2.231361205035699680e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.000000000000000000e+01,4.040000000000020464e+00,4.122977122396868643e-01,2.100000000000000000e+01
0.000000000000000000e+00,-2.300000000000000000e+01,6.661000000000001364e+00,5.735249743862282923e-01,3.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.029899999999997817e+01,2.958870516351497781e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.030399999999997362e+01,6.990728195056099548e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.027800000000002001e+01,5.078716320241084548e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.024900000000002365e+01,3.316145831029189694e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.600000000000000000e+01,5.309000000000196451e+00,3.357915323883514103e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.034099999999989450e+01,5.376710937018827074e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.030400000000008731e+01,1.001072522929007391e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.034799999999995634e+01,5.332700171780956344e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.036799999999993815e+01,4.284709305687816050e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.034099999999989450e+01,1.656296763050085774e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.030500000000006366e+01,5.247294104297021144e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.031199999999989814e+01,1.640753048649240098e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.027100000000018554e+01,7.848977650583370824e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033799999999996544e+01,1.406033129636453383e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.035899999999992360e+01,1.438275049071884970e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.031299999999987449e+01,1.025958391228068534e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.029300000000012005e+01,2.315794170054022716e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.032600000000002183e+01,1.416558490044501184e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.032199999999966167e+01,9.885221197581339769e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033400000000028740e+01,5.219421072453692689e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.029899999999997817e+01,1.282649219925983575e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.035800000000017462e+01,2.358686416243007955e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.032600000000002183e+01,3.281434560379146159e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.028600000000005821e+01,8.762625780539891052e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.033399999999983265e+01,9.905907118822423474e-01,1.500000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,2.036000000000058208e+00,2.890312527300185619e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.060000000000000000e+02,2.358799999999973807e+01,8.950612896682579311e-01,1.170000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.027500000000009095e+01,8.944654456585968694e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.066000000000030923e+01,1.113268965079856621e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.030200000000013461e+01,1.428512535493674296e+00,1.500000000000000000e+02
