human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-3.567825555981739560e-01,1.625798169578858421e-01,-9.491043507866669515e-05,4.715836555133697417e-05,-3.325623889252617982e-01,3.214181331778659945e-01,-2.135753031578731004e-04,1.788506123494401536e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.325623889252617982e-01,3.214181331778659945e-01,-2.135753031578731004e-04,1.788506123494401536e-04,-3.326067809214593440e-01,3.214553151160969291e-01,-2.133247697647603757e-04,1.787087372652888557e-04,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.326067809214593440e-01,3.214553151160969291e-01,-2.133247697647603757e-04,1.787087372652888557e-04,-3.326492924114171634e-01,3.200293268988281259e-01,-2.114380063067989592e-04,1.764926920942213326e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.326492924114171634e-01,3.200293268988281259e-01,-2.114380063067989592e-04,1.764926920942213326e-04,-3.288878284444770039e-01,3.146430722133008451e-01,-1.989068334359364717e-04,1.661536476136936760e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.288878284444770039e-01,3.146430722133008451e-01,-1.989068334359364717e-04,1.661536476136936760e-04,-3.171272083102467665e-01,3.073122575930383182e-01,-1.745150284176460900e-04,1.501347127111231740e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.171272083102467665e-01,3.073122575930383182e-01,-1.745150284176460900e-04,1.501347127111231740e-04,-3.040018174339884638e-01,2.996853062615803531e-01,-1.519222057887421396e-04,1.360371280161955026e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.040018174339884638e-01,2.996853062615803531e-01,-1.519222057887421396e-04,1.360371280161955026e-04,-2.919056763310170499e-01,2.923497895331107488e-01,-1.336822283254575654e-04,1.246675378798738239e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.919056763310170499e-01,2.923497895331107488e-01,-1.336822283254575654e-04,1.246675378798738239e-04,-2.756104642515040393e-01,2.850111416910576234e-01,-1.134015504237389030e-04,1.133675074355538766e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.756104642515040393e-01,2.850111416910576234e-01,-1.134015504237389030e-04,1.133675074355538766e-04,-2.624505375886918568e-01,2.773779152329400866e-01,-9.779484428241422321e-05,1.040531785345805534e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.624505375886918568e-01,2.773779152329400866e-01,-9.779484428241422321e-05,1.040531785345805534e-04,-2.579436979293033838e-01,2.700379549710227312e-01,-8.973421269157492877e-05,9.737276533671365675e-05,0.000000000000000000e+00,-2.000000000000000111e-01
