expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.100000000000000000e+01,4.236999999999994770e+00,2.077562093733281434e-01,2.200000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.004999999999998295e+01,2.035024843786013893e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.000000000000000000e+01,2.017399999999997817e+01,1.567359754252847237e+00,1.010000000000000000e+02
0.000000000000000000e+00,-2.500000000000000000e+01,7.072999999999979082e+00,5.896787463585764222e-01,3.600000000000000000e+01
0.000000000000000000e+00,-2.400000000000000000e+01,6.855999999999994543e+00,5.280471590138717808e-01,3.500000000000000000e+01
0.000000000000000000e+00,-3.300000000000000000e+01,8.666999999999973170e+00,1.031879205956298451e+00,4.400000000000000000e+01
0.000000000000000000e+00,-2.500000000000000000e+01,7.050999999999987722e+00,7.012129203240143882e-01,3.600000000000000000e+01
0.000000000000000000e+00,-3.700000000000000000e+01,9.490000000000009095e+00,7.876383457038564906e-01,4.800000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.014999999999986358e+00,2.571126691547303555e-01,1.100000000000000000e+01
0.000000000000000000e+00,-5.400000000000000000e+01,1.290699999999998226e+01,9.603024619316613553e-01,6.500000000000000000e+01
0.000000000000000000e+00,-2.200000000000000000e+01,6.517000000000052751e+00,7.355618459231618722e-01,3.300000000000000000e+01
0.000000000000000000e+00,-1.370000000000000000e+02,2.989700000000004820e+01,2.681876433744063704e+00,1.480000000000000000e+02
0.000000000000000000e+00,-6.000000000000000000e+00,3.250999999999976353e+00,4.370342292293762365e-01,1.700000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.898000000000024556e+00,6.931759435744594411e-01,3.000000000000000000e+01
0.000000000000000000e+00,-8.800000000000000000e+01,2.008400000000006003e+01,1.943193020016215078e+00,9.900000000000000000e+01
0.000000000000000000e+00,-2.800000000000000000e+01,7.730999999999994543e+00,7.883479685941211512e-01,3.900000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.036999999999920874e+00,3.666737816394789462e-01,1.100000000000000000e+01
