expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-7.700000000000000000e+01,1.755199999999999250e+01,8.590155192810053908e-01,8.800000000000000000e+01
0.000000000000000000e+00,-3.000000000000000000e+00,2.621000000000009322e+00,2.841518894378504134e-01,1.400000000000000000e+01
0.000000000000000000e+00,-4.700000000000000000e+01,1.151099999999999568e+01,6.382621719248496861e-01,5.800000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.831000000000017280e+00,4.027993100562511919e-01,2.000000000000000000e+01
0.000000000000000000e+00,-1.010000000000000000e+02,2.239300000000000068e+01,1.303387987286572347e+00,1.120000000000000000e+02
0.000000000000000000e+00,-1.800000000000000000e+01,5.643000000000029104e+00,4.910817445667087777e-01,2.900000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.038000000000010914e+00,3.682394007376355582e-01,2.100000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.634999999999990905e+00,2.847242445497636387e-01,1.900000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.021000000000015007e+00,2.476165984273743514e-01,1.100000000000000000e+01
0.000000000000000000e+00,-1.900000000000000000e+01,5.853000000000008640e+00,4.900300004808553211e-01,3.000000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.058000000000106411e+00,5.854261644361473671e-01,2.100000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.872999999999933607e+00,5.318531693758656864e-01,2.000000000000000000e+01
0.000000000000000000e+00,-3.200000000000000000e+01,8.550999999999930878e+00,7.161276848328260725e-01,4.300000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.832999999999969987e+00,2.461800253190657706e-01,1.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+01,6.100000000000022737e+00,7.292829014933243092e-01,3.100000000000000000e+01
0.000000000000000000e+00,-1.300000000000000000e+01,4.682999999999992724e+00,6.206721877496126361e-01,2.400000000000000000e+01
0.000000000000000000e+00,-5.000000000000000000e+00,3.055000000000063665e+00,4.327472606850000236e-01,1.600000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+00,2.235999999999989996e+00,3.170242955557053821e-01,1.200000000000000000e+01
0.000000000000000000e+00,-8.000000000000000000e+00,3.647999999999910870e+00,5.230427871075776780e-01,1.900000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.874000000000023647e+00,5.281258568772134732e-01,2.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.623999999999909960e+00,3.087440989579910422e-01,9.000000000000000000e+00
0.000000000000000000e+00,-2.100000000000000000e+01,6.317000000000007276e+00,7.528115486007802559e-01,3.200000000000000000e+01
0.000000000000000000e+00,-1.000000000000000000e+01,4.086999999999875399e+00,5.845060158436538034e-01,2.100000000000000000e+01
0.000000000000000000e+00,-4.000000000000000000e+00,2.849999999999909051e+00,4.069029217246912800e-01,1.500000000000000000e+01
0.000000000000000000e+00,-9.000000000000000000e+00,3.871000000000094587e+00,4.838676319676644133e-01,2.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.837999999999965439e+00,3.132379916968365818e-01,1.000000000000000000e+01
0.000000000000000000e+00,-2.000000000000000000e+00,2.443000000000211003e+00,3.995426548045912241e-01,1.300000000000000000e+01
0.000000000000000000e+00,-1.600000000000000000e+01,5.287000000000034561e+00,7.175044024560740530e-01,2.700000000000000000e+01
0.000000000000000000e+00,-1.800000000000000000e+01,5.696000000000140062e+00,7.409959268658019571e-01,2.900000000000000000e+01
0.000000000000000000e+00,-2.200000000000000000e+01,6.512999999999919964e+00,7.940358481216188702e-01,3.300000000000000000e+01
