human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
1.000000000000000056e-01,1.000000000000000000e+00,-1.793127309860084728e-01,3.434010491352956773e-01,-2.090875369223342561e-04,3.535633621098474674e-04,-3.287635345382547980e-01,3.214191362591954926e-01,-2.080044843035141989e-04,1.766899282794321378e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-3.287635345382547980e-01,3.214191362591954926e-01,-2.080044843035141989e-04,1.766899282794321378e-04,-3.170074365014652340e-01,3.214521040992878165e-01,-1.902328802558523441e-04,1.693251634506973493e-04,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-3.170074365014652340e-01,3.214521040992878165e-01,-1.902328802558523441e-04,1.693251634506973493e-04,-3.010440277267810716e-01,3.214825227357604454e-01,-1.703757596755237753e-04,1.619426520423922634e-04,2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.000000000000000000e+00,-3.010440277267810716e-01,3.214825227357604454e-01,-1.703757596755237753e-04,1.619426520423922634e-04,-2.888744854706905008e-01,3.214767896295607219e-01,-1.562190924635875708e-04,1.565889947321423179e-04,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,1.000000000000000000e+00,-2.888744854706905008e-01,3.214767896295607219e-01,-1.562190924635875708e-04,1.565889947321423179e-04,-2.777120070358397586e-01,3.189660896519936895e-01,-1.423382898881759011e-04,1.493141264472540081e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.777120070358397586e-01,3.189660896519936895e-01,-1.423382898881759011e-04,1.493141264472540081e-04,-2.614470215182125301e-01,3.121081991034507230e-01,-1.213604676278372268e-04,1.361279731607132205e-04,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,1.000000000000000000e+00,-2.614470215182125301e-01,3.121081991034507230e-01,-1.213604676278372268e-04,1.361279731607132205e-04,-2.419890797433446039e-01,3.014315878298150508e-01,-9.882776834012984939e-05,1.210831688254659152e-04,-2.000000000000000042e-02,2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.419890797433446039e-01,3.014315878298150508e-01,-9.882776834012984939e-05,1.210831688254659152e-04,-2.183263395117719108e-01,2.867489599907493414e-01,-7.404396997838703530e-05,1.038176258943852284e-04,-2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-2.183263395117719108e-01,2.867489599907493414e-01,-7.404396997838703530e-05,1.038176258943852284e-04,-1.984574735525151956e-01,2.695779449979912035e-01,-5.472666056669042180e-05,8.884749785800810000e-05,2.000000000000000042e-02,-2.000000000000000111e-01
1.000000000000000056e-01,1.000000000000000000e+00,-1.984574735525151956e-01,2.695779449979912035e-01,-5.472666056669042180e-05,8.884749785800810000e-05,-1.795965053248613774e-01,2.558113569228303574e-01,-4.056778893532624064e-05,7.854982242726167877e-05,2.000000000000000042e-02,2.000000000000000111e-01
1.000000000000000056e-01,0.000000000000000000e+00,-1.795965053248613774e-01,2.558113569228303574e-01,-4.056778893532624064e-05,7.854982242726167877e-05,-1.748321979094924483e-01,2.457374789847745211e-01,-3.451128092465764323e-05,7.213573910429457172e-05,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.748321979094924483e-01,2.457374789847745211e-01,-3.451128092465764323e-05,7.213573910429457172e-05,-1.748384227939885904e-01,2.401316907587810745e-01,-3.252325768474921693e-05,6.915546523877689014e-05,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.748384227939885904e-01,2.401316907587810745e-01,-3.252325768474921693e-05,6.915546523877689014e-05,-1.748447940000582013e-01,2.385222213975627115e-01,-3.206013687734860884e-05,6.842263844247015896e-05,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.748447940000582013e-01,2.385222213975627115e-01,-3.206013687734860884e-05,6.842263844247015896e-05,-1.748513931570422619e-01,2.410893555270267330e-01,-3.310313092410410951e-05,6.990475115888788483e-05,2.000000000000000042e-02,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-1.748513931570422619e-01,2.410893555270267330e-01,-3.310313092410410951e-05,6.990475115888788483e-05,-1.786483231785089276e-01,2.476380410291012524e-01,-3.692165569511055386e-05,7.376420481992844035e-05,2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.786483231785089276e-01,2.476380410291012524e-01,-3.692165569511055386e-05,7.376420481992844035e-05,-1.904498294133529779e-01,2.579318158130756156e-01,-4.579588793479131789e-05,8.065391019012020191e-05,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-1.904498294133529779e-01,2.579318158130756156e-01,-4.579588793479131789e-05,8.065391019012020191e-05,-2.112133320646178980e-01,2.667061160933579256e-01,-5.993619245450612469e-05,8.862588400663270593e-05,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,2.000000000000000000e+00,-2.112133320646178980e-01,2.667061160933579256e-01,-5.993619245450612469e-05,8.862588400663270593e-05,-2.393366943895527399e-01,2.710634414193415220e-01,-7.808740816628508572e-05,9.520188645439824700e-05,-2.000000000000000042e-02,-2.000000000000000111e-01
-1.000000000000000056e-01,0.000000000000000000e+00,-2.393366943895527399e-01,2.710634414193415220e-01,-7.808740816628508572e-05,9.520188645439824700e-05,-2.716730263297508219e-01,2.714182377555765524e-01,-1.003442035941354608e-04,1.007323846165553849e-04,-2.000000000000000042e-02,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-2.716730263297508219e-01,2.714182377555765524e-01,-1.003442035941354608e-04,1.007323846165553849e-04,-3.053082273137808778e-01,2.675439400524824984e-01,-1.264202765321606405e-04,1.052036818421249454e-04,-2.000000000000000042e-02,0.000000000000000000e+00
